dest,click
frames/v1frame0.jpg,0
frames/v1frame1.jpg,0
frames/v1frame2.jpg,0
frames/v1frame3.jpg,0
frames/v1frame4.jpg,0
frames/v1frame5.jpg,0
frames/v1frame6.jpg,0
frames/v1frame7.jpg,0
frames/v1frame8.jpg,0
frames/v1frame9.jpg,0
frames/v1frame10.jpg,0
frames/v1frame11.jpg,0
frames/v1frame12.jpg,0
frames/v1frame13.jpg,0
frames/v1frame14.jpg,0
frames/v1frame15.jpg,0
frames/v1frame16.jpg,0
frames/v1frame17.jpg,0
frames/v1frame18.jpg,0
frames/v1frame19.jpg,0
frames/v1frame20.jpg,0
frames/v1frame21.jpg,0
frames/v1frame22.jpg,0
frames/v1frame23.jpg,0
frames/v1frame24.jpg,0
frames/v1frame25.jpg,0
frames/v1frame26.jpg,0
frames/v1frame27.jpg,0
frames/v1frame28.jpg,0
frames/v1frame29.jpg,0
frames/v1frame30.jpg,0
frames/v1frame31.jpg,0
frames/v1frame32.jpg,0
frames/v1frame33.jpg,0
frames/v1frame34.jpg,0
frames/v1frame35.jpg,0
frames/v1frame36.jpg,0
frames/v1frame37.jpg,0
frames/v1frame38.jpg,0
frames/v1frame39.jpg,0
frames/v1frame40.jpg,0
frames/v1frame41.jpg,0
frames/v1frame42.jpg,0
frames/v1frame43.jpg,0
frames/v1frame44.jpg,0
frames/v1frame45.jpg,0
frames/v1frame46.jpg,0
frames/v1frame47.jpg,0
frames/v1frame48.jpg,0
frames/v1frame49.jpg,0
frames/v1frame50.jpg,0
frames/v1frame51.jpg,0
frames/v1frame52.jpg,0
frames/v1frame53.jpg,0
frames/v1frame54.jpg,1
frames/v1frame55.jpg,1
frames/v1frame56.jpg,1
frames/v1frame57.jpg,0
frames/v1frame58.jpg,0
frames/v1frame59.jpg,0
frames/v1frame60.jpg,0
frames/v1frame61.jpg,0
frames/v1frame62.jpg,0
frames/v1frame63.jpg,0
frames/v1frame64.jpg,0
frames/v1frame65.jpg,0
frames/v1frame66.jpg,1
frames/v1frame67.jpg,1
frames/v1frame68.jpg,1
frames/v1frame69.jpg,0
frames/v1frame70.jpg,0
frames/v1frame71.jpg,0
frames/v1frame72.jpg,0
frames/v1frame73.jpg,0
frames/v1frame74.jpg,0
frames/v1frame75.jpg,0
frames/v1frame76.jpg,0
frames/v1frame77.jpg,1
frames/v1frame78.jpg,1
frames/v1frame79.jpg,1
frames/v1frame80.jpg,1
frames/v1frame81.jpg,0
frames/v1frame82.jpg,0
frames/v1frame83.jpg,0
frames/v1frame84.jpg,0
frames/v1frame85.jpg,0
frames/v1frame86.jpg,0
frames/v1frame87.jpg,0
frames/v1frame88.jpg,1
frames/v1frame89.jpg,1
frames/v1frame90.jpg,1
frames/v1frame91.jpg,1
frames/v1frame92.jpg,0
frames/v1frame93.jpg,0
frames/v1frame94.jpg,0
frames/v1frame95.jpg,0
frames/v1frame96.jpg,0
frames/v1frame97.jpg,0
frames/v1frame98.jpg,0
frames/v1frame99.jpg,1
frames/v1frame100.jpg,1
frames/v1frame101.jpg,1
frames/v1frame102.jpg,0
frames/v1frame103.jpg,0
frames/v1frame104.jpg,0
frames/v1frame105.jpg,0
frames/v1frame106.jpg,0
frames/v1frame107.jpg,0
frames/v1frame108.jpg,0
frames/v1frame109.jpg,0
frames/v1frame110.jpg,1
frames/v1frame111.jpg,1
frames/v1frame112.jpg,1
frames/v1frame113.jpg,0
frames/v1frame114.jpg,0
frames/v1frame115.jpg,0
frames/v1frame116.jpg,0
frames/v1frame117.jpg,0
frames/v1frame118.jpg,0
frames/v1frame119.jpg,0
frames/v1frame120.jpg,1
frames/v1frame121.jpg,1
frames/v1frame122.jpg,1
frames/v1frame123.jpg,1
frames/v1frame124.jpg,0
frames/v1frame125.jpg,0
frames/v1frame126.jpg,0
frames/v1frame127.jpg,0
frames/v1frame128.jpg,0
frames/v1frame129.jpg,0
frames/v1frame130.jpg,0
frames/v1frame131.jpg,1
frames/v1frame132.jpg,1
frames/v1frame133.jpg,1
frames/v1frame134.jpg,0
frames/v1frame135.jpg,0
frames/v1frame136.jpg,0
frames/v1frame137.jpg,0
frames/v1frame138.jpg,0
frames/v1frame139.jpg,0
frames/v1frame140.jpg,0
frames/v1frame141.jpg,1
frames/v1frame142.jpg,1
frames/v1frame143.jpg,1
frames/v1frame144.jpg,1
frames/v1frame145.jpg,0
frames/v1frame146.jpg,0
frames/v1frame147.jpg,0
frames/v1frame148.jpg,0
frames/v1frame149.jpg,0
frames/v1frame150.jpg,0
frames/v1frame151.jpg,0
frames/v1frame152.jpg,1
frames/v1frame153.jpg,1
frames/v1frame154.jpg,1
frames/v1frame155.jpg,1
frames/v1frame156.jpg,0
frames/v1frame157.jpg,0
frames/v1frame158.jpg,0
frames/v1frame159.jpg,0
frames/v1frame160.jpg,0
frames/v1frame161.jpg,0
